date,sunriseTime,sunsetTime,temperatureMin,temperatureMax,moonPhase,icon,summary
2014-01-01,07:28:16,16:58:06,29.24,46.92,0.02,clear-day,Clear throughout the day.
2014-01-02,07:28:23,16:58:54,32.14,38.13,0.05,rain,Light rain starting in the evening.
2014-01-03,07:28:27,16:59:44,16.37,32.02,0.09,wind,Breezy in the morning.
2014-01-04,07:28:30,17:00:35,14.95,33.67,0.12,clear-day,Clear throughout the day.
2014-01-05,07:28:30,17:01:28,30.42,40.29,0.16,rain,Light rain in the morning and evening.
2014-01-06,07:28:28,17:02:22,12.19,47.22,0.2,snow,Mixed precipitation (1-3 in. of snow) in the morning and evening and breezy starting in the evening.
2014-01-07,07:28:24,17:03:17,6.11,19.24,0.23,clear-day,Clear throughout the day.
2014-01-08,07:28:18,17:04:13,11.69,29.03,0.27,clear-day,Clear throughout the day.
2014-01-09,07:28:10,17:05:11,27.35,38.16,0.3,clear-day,Clear throughout the day.
2014-01-10,07:28:00,17:06:09,30.98,37.86,0.33,rain,Light rain throughout the day.
2014-01-11,07:27:47,17:07:09,36.59,54.16,0.36,rain,Rain until evening.
2014-01-12,07:27:33,17:08:10,35.23,52.45,0.4,clear-day,Clear throughout the day.
2014-01-13,07:27:17,17:09:12,30.89,56.62,0.43,rain,Heavy rain overnight.
2014-01-14,07:26:58,17:10:14,39.21,52.74,0.45,rain,Heavy rain until afternoon.
2014-01-15,07:26:38,17:11:18,37.79,47.04,0.48,fog,Foggy in the morning.
2014-01-16,07:26:15,17:12:22,30.82,40.11,0.52,clear-day,Clear throughout the day.
2014-01-17,07:25:51,17:13:27,30.69,47.27,0.55,clear-day,Clear throughout the day.
2014-01-18,07:25:24,17:14:33,24.32,37.88,0.58,clear-day,Clear throughout the day.
2014-01-19,07:24:56,17:15:39,24.14,49.68,0.61,clear-day,Clear throughout the day.
2014-01-20,07:24:26,17:16:46,38.9,56.41,0.64,clear-day,Clear throughout the day.
2014-01-21,07:23:53,17:17:53,17.09,37.79,0.67,snow,Snow (under 1 in.) in the afternoon and evening.
2014-01-22,07:23:19,17:19:01,8.82,17.87,0.7,clear-day,Clear throughout the day.
2014-01-23,07:22:43,17:20:10,10.48,26.19,0.74,clear-day,Clear throughout the day.
2014-01-24,07:22:05,17:21:18,10.85,22.9,0.77,clear-day,Clear throughout the day.
2014-01-25,07:21:25,17:22:27,22,33.76,0.81,clear-day,Clear throughout the day.
2014-01-26,07:20:43,17:23:37,19.87,33.61,0.84,clear-day,Clear throughout the day.
2014-01-27,07:20:00,17:24:47,24.22,50.25,0.88,clear-day,Clear throughout the day.
2014-01-28,07:19:15,17:25:56,12.79,22.22,0.92,snow,Snow (under 1 in.) overnight.
2014-01-29,07:18:28,17:27:07,12.65,24.7,0.95,clear-day,Clear throughout the day.
2014-01-30,07:17:39,17:28:17,12.49,32.11,0.98,clear-day,Clear throughout the day.
2014-01-31,07:16:49,17:29:27,22.8,48.29,0.03,clear-day,Clear throughout the day.
2014-02-01,07:15:57,17:30:37,27.56,51.37,0.07,clear-day,Clear throughout the day.
2014-02-02,07:15:03,17:31:48,32.81,60.18,0.11,clear-day,Clear throughout the day.
2014-02-03,07:14:08,17:32:58,33.74,48.21,0.14,rain,Heavy rain until afternoon.
2014-02-04,07:13:11,17:34:08,29.05,37.38,0.18,rain,Light rain overnight.
2014-02-05,07:12:12,17:35:19,32.25,41.56,0.21,rain,Light rain in the morning and breezy starting in the evening.
2014-02-06,07:11:12,17:36:29,28.98,35.93,0.25,partly-cloudy-day,Partly cloudy in the morning.
2014-02-07,07:10:11,17:37:39,27.47,40.98,0.28,clear-day,Clear throughout the day.
2014-02-08,07:09:08,17:38:49,27.18,33.9,0.31,clear-day,Clear throughout the day.
2014-02-09,07:08:03,17:39:58,26.31,34.68,0.34,clear-day,Clear throughout the day.
2014-02-10,07:06:57,17:41:08,25.41,32.27,0.37,clear-day,Clear throughout the day.
2014-02-11,07:05:50,17:42:17,21.47,32.97,0.4,clear-day,Clear throughout the day.
2014-02-12,07:04:42,17:43:26,17.53,28.69,0.43,snow,Heavy snow (1-3 in.) starting in the evening.
2014-02-13,07:03:32,17:44:35,25.79,37.35,0.46,rain,Heavy rain throughout the day.
2014-02-14,07:02:21,17:45:43,34.56,50.3,0.48,clear-day,Clear throughout the day.
2014-02-15,07:01:08,17:46:51,30.87,38.87,0.52,rain,"Light rain until afternoon, starting again in the evening."
2014-02-16,06:59:55,17:47:59,26.67,36.89,0.55,clear-day,Clear throughout the day.
2014-02-17,06:58:40,17:49:06,24.41,35.22,0.58,snow,Snow (under 1 in.) overnight.
2014-02-18,06:57:24,17:50:13,28.68,56.44,0.62,snow,Light snow in the morning.
2014-02-19,06:56:07,17:51:20,34.64,60.59,0.65,rain,Rain in the morning.
2014-02-20,06:54:49,17:52:27,33.83,53.56,0.68,clear-day,Clear throughout the day.
2014-02-21,06:53:29,17:53:33,37.93,65.36,0.72,rain,Light rain in the afternoon.
2014-02-22,06:52:09,17:54:38,32.66,62.82,0.75,clear-day,Clear throughout the day.
2014-02-23,06:50:48,17:55:44,46.56,61.75,0.79,clear-day,Clear throughout the day.
2014-02-24,06:49:25,17:56:49,34.29,45.62,0.83,clear-day,Clear throughout the day.
2014-02-25,06:48:02,17:57:53,29.6,37.04,0.87,snow,Snow (under 1 in.) until afternoon.
2014-02-26,06:46:38,17:58:58,25.99,36.05,0.9,snow,Light snow (under 1 in.) in the morning.
2014-02-27,06:45:13,18:00:01,21.99,40.41,0.94,wind,Breezy starting in the evening.
2014-02-28,06:43:48,18:01:05,14.3,28.46,0.98,clear-day,Clear throughout the day.
2014-03-01,06:42:21,18:02:08,20.79,44.05,0.02,clear-day,Clear throughout the day.
2014-03-02,06:40:54,18:03:11,34.7,52.26,0.05,rain,Light rain starting in the afternoon.
2014-03-03,06:39:26,18:04:13,14.46,36.41,0.09,snow,Snow (under 1 in.) until afternoon.
2014-03-04,06:37:57,18:05:15,13.59,30.41,0.12,clear-day,Clear throughout the day.
